COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION	
AHÄ°Z2233.8,First Aid (3),3,5,0 / 25,Maslak,"A417, A417, A417",IÅžIL,ARSLAN,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z2241.1,Operating Room Applications III (3),3,4,3 / 25,Maslak,"-, -, -, -, -",AHMET KAMÄ°L,TEKEREK,STAFF,"Cuma 11:30 - 12:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20",Vocational School,3,NO	
AHÄ°Z2242.1,Operating Room  Equipments (3),3,3,18 / 40,Maslak,"B251, B251, B251",DÄ°LARA,BAKIN,STAFF,,Vocational School,3,NO	
AHÄ°Z2242.2,Operating Room  Equipments (3),3,3,2 / 25,Maslak,"A203, A203, A203",DÄ°LARA,BAKIN,STAFF,,Vocational School,3,NO	
AHÄ°Z2243.1,Knowledge of Diseases (3),3,5,15 / 40,Maslak,"B162, B162, B162",DENÄ°Z,ACUNER,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO	
AHÄ°Z2243.2,Knowledge of Diseases (3),3,5,10 / 25,Maslak,"B251, B251, B251",DENÄ°Z,ACUNER,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z2909.1,Industrial Training,0,1,93 / 100,Maslak,,DÄ°LARA,BAKIN,STAFF,,Vocational School,0,NO	
ANZÄ°1121.1,Sistemik HastalÄ±klar Bilgisi (3),3,6,0 / 73,Maslak,"B151, B151, B151",DENÄ°Z,ACUNER,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Ã‡arÅŸamba 14:30 - 15:20",Vocational School,3,NO	
ANZÄ°1122.1,Genel Farmakoloji (3),3,3,24 / 85,Maslak,"B108, B108, B108",AYHAN,ÃœÄžÃœDEN,STAFF,,Vocational School,3,NO	
ANZÄ°1122.2,Genel Farmakoloji (3),3,3,6 / 70,Maslak,"B251, B251, B251",AYHAN,ÃœÄžÃœDEN,STAFF,"Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20, Ã‡arÅŸamba 17:30 - 18:20",Vocational School,3,NO	
ANZÄ°1122.3,Genel Farmakoloji (3),3,3,20 / 45,Maslak,"A317, A317, A317",AYHAN,ÃœÄžÃœDEN,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
ANZÄ°1123.1,Ä°laÃ§ HazÄ±rlama,0,3,5 / 70,Maslak,"B251, B251, B251",Ã–ZGE,GÃ–L,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20",Vocational School,6,NO	
ANZÄ°1212.1,General Pharmacology (3),3,5,66 / 80,Maslak,"B108, B108, B108",AYHAN,ÃœÄžÃœDEN,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Ã‡arÅŸamba 14:30 - 15:20",Vocational School,3,NO	
ANZÄ°1212.2,General Pharmacology (3),3,5,38 / 45,Maslak,"A317, A317, A317",AYHAN,ÃœÄžÃœDEN,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
ANZÄ°1222.1,Fundamantels of Anesthesia  II (3),3,6,6 / 70,Maslak,"B251, B251, B251",ALÄ°,YÃœCEL,STAFF,"Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20",Vocational School,3,NO	
ANZÄ°2233.1,Anesthesia Applications I (3),3,4,5 / 25,Maslak,"A413 A415, A413 A415, A413 A415",MEHTAP,ATASEVEN BULUN,STAFF,"SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20, SalÄ± 17:30 - 18:20",Vocational School,3,NO	
ANZÄ°2233.2,Anesthesia Applications I (3),3,4,15 / 25,Maslak,"A413 A415, A413 A415, A413 A415",MEHTAP,ATASEVEN BULUN,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20",Vocational School,3,NO	
ANZÄ°2241.1,Clinic Anesthesia II  (3),3,5,5 / 55,Maslak,"B351, B351, B351",ALÄ°,YÃœCEL,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO	
ANZÄ°2242.1,Post Operative Care and Non-Operating Room Applications (3),3,4,10 / 55,Maslak,"A320, A320, A320",MEHTAP,ATASEVEN BULUN,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20, SalÄ± 14:30 - 15:20",Vocational School,3,NO	
ANZÄ°2243.1,Anesthesia Applications II (3),3,4,33 / 55,Maslak,"-, -, -, -, -",AHMET KAMÄ°L,TEKEREK,STAFF,"Ã‡arÅŸamba 11:30 - 12:20, Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Ã‡arÅŸamba 14:30 - 15:20, Ã‡arÅŸamba 15:30 - 16:20",Vocational School,3,NO	
ANZÄ°2251.1,Public Health  (3),3,5,19 / 40,Maslak,"B162, B162, B162",Ã–ZGE,GÃ–L,STAFF,"Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20, Ã‡arÅŸamba 17:30 - 18:20",Vocational School,3,NO	
ANZÄ°2251.2,Public Health  (3),3,5,14 / 25,Maslak,"B451, B451, B451",Ã–ZGE,GÃ–L,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
ANZÄ°2261.1,Ä°laÃ§ HazÄ±rlama (3),3,5,49 / 60,Maslak,"B151, B151, B151",Ã–ZGE,GÃ–L,STAFF,,Vocational School,0,NO	
ANZÄ°2909.1,Industrial Training,0,1,94 / 100,Maslak,,Ã–ZGE,GÃ–L,STAFF,,Vocational School,0,NO	
ARCH1103.1,Basic Design (4),4,7,18 / 20,Åžile,"D/K-214, D/K-214",RÃœKSAN,TUNA,STAFF,"Cuma 13:30 - 14:20, Cuma 14:30 - 15:20","Faculty of Arts, Design and Architecture",2,NO	
ARCH1103-L.1,Basic Design,0,0,18 / 20,Åžile,"D/K-214, D/K-214, D/K-214, D/K-214",RÃœKSAN TUNA 1,,STAFF,"Cuma 15:30 - 16:20, Cuma 16:30 - 17:20, Cuma 17:30 - 18:20, Cuma 08:30 - 09:20","Faculty of Arts, Design and Architecture",4,NO	
ARCH1104.1,Introduction to Architectural Design (3),3,5,18 / 20,Åžile,"D/K-214, D/K-214",RÃœKSAN TUNA 4,,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO	
ARCH1104-L.1,Introduction to Architectural Design,0,0,18 / 20,Åžile,"D/K-214, D/K-214",RÃœKSAN TUNA 5,,STAFF,"Cuma 11:30 - 12:20, Cuma 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO	
ARCH1105.1,Architectural Presentation Techniques (4),4,7,19 / 20,Åžile,"D/K-214, D/K-214",RÃœKSAN TUNA 2,,STAFF,"Cuma 13:30 - 14:20, Cuma 14:30 - 15:20","Faculty of Arts, Design and Architecture",2,NO	
ARCH1105-L.1,Architectural Presentation Techniques,0,0,19 / 20,Åžile,"D/K-214, D/K-214, D/K-214, D/K-214",RÃœKSAN TUNA 3,,STAFF,"Cuma 15:30 - 16:20, Cuma 16:30 - 17:20, Cuma 17:30 - 18:20, Cuma 08:30 - 09:20","Faculty of Arts, Design and Architecture",4,NO	
ARCH1115.1,Architecture Foundation Studio I (4),4,7,4 / 20,Åžile,"D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106",JALE GÃ–ZDE,KÃœÃ‡ÃœKOÄžLU,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Ã‡arÅŸamba 11:30 - 12:20, Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Ã‡arÅŸamba 14:30 - 15:20, Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO	
ARCH1116.1,Architecture Foundation Studio II (4),4,7,25 / 40,Åžile,"D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202",GÃœLAY,KEPSUTLU,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Ã‡arÅŸamba 11:30 - 12:20, Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Ã‡arÅŸamba 14:30 - 15:20, Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO	
ARCH1118.1,Concepts and Culture of Architecture (3),3,5,7 / 40,Åžile,"D/K-102, D/K-102",DÄ°CLE,ZEYCAN,STAFF,,"Faculty of Arts, Design and Architecture",2,NO	
ARCH1118-L.1,Concepts and Culture of Architecture,0,0,7 / 40,Åžile,"D/K-102, D/K-102",DÄ°CLE,ZEYCAN,STAFF,,"Faculty of Arts, Design and Architecture",2,NO	
ARCH1120.1,People and Environment in Architecture (3),3,5,14 / 40,Åžile,"D/K-501, D/K-501",FATMA AHSEN,Ã–ZSOY,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO	
ARCH1120-L.1,People and Environment in Architecture,0,0,15 / 40,Åžile,"D/K-501, D/K-501",FATMA AHSEN,Ã–ZSOY,STAFF,"SalÄ± 11:30 - 12:20, SalÄ± 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO	
ARCH2201.1,Architectural Design Studio I (4),4,8,1 / 30,Åžile,"D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106",ELÄ°F,SÃœYÃœK MAKAKLI,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20, Cuma 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO	
ARCH2202.1,Architectural Design Studio II (4),4,8,24 / 40,Åžile,"D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106",JALE GÃ–ZDE,KÃœÃ‡ÃœKOÄžLU,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20, Cuma 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO	
