COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION	
ECON1008-PS.1,Introduction to Macroeconomics,0,0,33 / 60,Åžile,DMF-411,BAHADIR,ER,STAFF,Pazartesi 11:30 - 12:20,"Faculty of Economics, Administrative and Social Sciences",1,NO	
ECON2002.1,Macroeconomics (3),3,6,-16 / 60,Åžile,"DMF-411, DMF-411, DMF-411",SELDA,GÃ–RKEY,STAFF,"SalÄ± 13:30 - 14:20, SalÄ± 14:30 - 15:20, SalÄ± 15:30 - 16:20","Faculty of Economics, Administrative and Social Sciences",3,NO	
ECON2101.1,Introduction to Economic Data Analysis (1),1,1,16 / 20,Online,ONLINE,HASAN,BAKIR,STAFF,Cuma 15:30 - 16:20,"Faculty of Economics, Administrative and Social Sciences",1,YES	
ECON3102.1,Econometrics II (3),3,6,10 / 20,Åžile,"D/K-505, D/K-505, D/K-505",MEHMET,KAYTAZ,STAFF,"Ã‡arÅŸamba 13:30 - 14:20, Ã‡arÅŸamba 14:30 - 15:20, Ã‡arÅŸamba 15:30 - 16:20","Faculty of Economics, Administrative and Social Sciences",3,NO	
ECON3201.1,Monetary Economics (3),3,6,11 / 20,Åžile,"D/K-101, D/K-101, D/K-101",STAFF,,STAFF,,"Faculty of Economics, Administrative and Social Sciences",3,NO	
ECON3403.1,Economic Growth and Development (3),3,6,8 / 20,Åžile,"D/K-407, D/K-407, D/K-407",SELDA,GÃ–RKEY,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Ã‡arÅŸamba 11:30 - 12:20","Faculty of Economics, Administrative and Social Sciences",3,NO	
ECON3603.1,Labor Economics (3),3,5,0 / 20,Åžile,"D/K-401, D/K-401, D/K-401",SEÃ‡KÄ°N,SUNAL,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20","Faculty of Economics, Administrative and Social Sciences",3,NO	
ECON4501.1,Economics of the EU (3),3,5,26 / 40,Åžile,"D/K-313, D/K-313, D/K-313",RIFAT BARIÅž,TEKÄ°N,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20","Faculty of Economics, Administrative and Social Sciences",3,NO	
ECON4503.1,Economic Policy (3),3,6,0 / 20,Åžile,"D/K-401, D/K-401, D/K-401",SEÃ‡KÄ°N,SUNAL,STAFF,"Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20","Faculty of Economics, Administrative and Social Sciences",3,NO	
ECON4601.1,Turkish Economy (3),3,6,8 / 20,Åžile,"D/K-113, D/K-113, D/K-113",ASLI,TAÅžBAÅžI,STAFF,,"Faculty of Economics, Administrative and Social Sciences",3,NO	
ECON4802.1,Special Topics : Career Project (3),3,5,0 / 18,Åžile,"D/K-311, D/K-311, D/K-311",ASLI,TAÅžBAÅžI,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20","Faculty of Economics, Administrative and Social Sciences",3,NO	
ECON4901.1,Research Project (3),3,8,3 / 10,Åžile,"D/K-113, D/K-113, D/K-113",ASLI,TAÅžBAÅžI,STAFF,,"Faculty of Economics, Administrative and Social Sciences",3,NO	
EE567.1,TWO DIMENSIONAL SIGNAL AND IMAGE PROCESSING (3),3,8,0 / 15,Åžile,,ÃœMÄ°T,GÃœZ,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 08:30 - 09:20",School of Graduate Studies,0,YES	
EE570.1,DIGITAL COMMUNICATIONS (3),3,8,7 / 10,Åžile,,ONUR,KAYA,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",School of Graduate Studies,0,YES	
EE590.1,M.S. Thesis,0,66,2 / 10,Maslak,,AHMET,AKSEN,STAFF,,School of Graduate Studies,0,NO	
EKON1005.1,Introduction to Economics (3),3,5,2 / 12,Online,"ONLINE, ONLINE, ONLINE",ASLI,TAÅžBAÅžI,STAFF,"Pazartesi 17:30 - 18:20, Pazartesi 08:30 - 09:20","Faculty of Economics, Administrative and Social Sciences",3,NO	
ELEC1402.1,Logic Design Laboratory (1),1,2,0 / 26,Åžile,"DMF-004, DMF-004",EBRU GÃœRSU,Ã‡Ä°MEN,STAFF,,Faculty of Engineering and Natural Sciences,2,NO	
ELEC1402.2,Logic Design Laboratory (1),1,2,2 / 26,Åžile,"DMF-004, DMF-004",EBRU GÃœRSU,Ã‡Ä°MEN,STAFF,,Faculty of Engineering and Natural Sciences,2,NO	
ELEC1402.3,Logic Design Laboratory (1),1,2,-1 / 26,Åžile,"DMF-004, DMF-004",EBRU GÃœRSU,Ã‡Ä°MEN,STAFF,,Faculty of Engineering and Natural Sciences,2,NO	
ELEC1402.4,Logic Design Laboratory (1),1,2,1 / 27,Åžile,"LMF-417, LMF-417",EBRU GÃœRSU,Ã‡Ä°MEN,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC1402.5,Logic Design Laboratory (1),1,2,1 / 26,Åžile,"LMF-417, LMF-417",EBRU GÃœRSU,Ã‡Ä°MEN,STAFF,"Cuma 11:30 - 12:20, Cuma 12:30 - 13:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC1402.6,Logic Design Laboratory (1),1,2,3 / 26,Åžile,"LMF-417, LMF-417",EBRU GÃœRSU,Ã‡Ä°MEN,STAFF,"Cuma 15:30 - 16:20, Cuma 16:30 - 17:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC1411.1,Logic Design (3),3,4,38 / 185,Åžile,"ONLINE, ONLINE, ONLINE",Ä°ZZET CEM,GÃ–KNAR,STAFF,Ã‡arÅŸamba 08:30 - 09:20,Faculty of Engineering and Natural Sciences,3,YES	
ELEC1411.2,Logic Design (3),3,4,16 / 95,Åžile,"ONLINE, ONLINE, ONLINE",RÃœÅžTÃœ  MURAT,DEMÄ°RER,STAFF,"Pazartesi 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Faculty of Engineering and Natural Sciences,3,YES	
ELEC1411-PS.1,Logic Design,0,0,1 / 216,Åžile,ONLINE,Ä°ZZET CEM,GÃ–KNAR,STAFF,,Faculty of Engineering and Natural Sciences,1,YES	
ELEC1411-PS.2,Logic Design,0,0,80 / 90,Åžile,ONLINE,RÃœÅžTÃœ  MURAT,DEMÄ°RER,STAFF,Ã‡arÅŸamba 08:30 - 09:20,Faculty of Engineering and Natural Sciences,1,YES	
ELEC2201.1,Circuit Theory I (3),3,6,13 / 40,Åžile,"DMF-410, DMF-410, DMF-410",AHMET MASUM,HAVA,STAFF,"Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Ã‡arÅŸamba 13:30 - 14:20",Faculty of Engineering and Natural Sciences,3,NO	
ELEC2201-PS.1,Circuit Theory I,0,0,14 / 40,Åžile,DMF-410,AHMET MASUM,HAVA,STAFF,Ã‡arÅŸamba 14:30 - 15:20,Faculty of Engineering and Natural Sciences,1,NO	
ELEC2204.1,Electrical Circuits Laboratory (1),1,2,9 / 18,Åžile,"LMF-406, LMF-406",EBRU GÃœRSU,Ã‡Ä°MEN,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC2204.2,Electrical Circuits Laboratory (1),1,2,-2 / 18,Åžile,"LMF-406, LMF-406",EBRU GÃœRSU,Ã‡Ä°MEN,STAFF,"SalÄ± 11:30 - 12:20, SalÄ± 12:30 - 13:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC2204.3,Electrical Circuits Laboratory (1),1,2,0 / 18,Åžile,"LMF-406, LMF-406",EBRU GÃœRSU,Ã‡Ä°MEN,STAFF,"SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC2205.1,Electrical Circuits (3),3,5,9 / 35,Åžile,"DMF-410, DMF-410, DMF-410",AHMET MASUM,HAVA,STAFF,"Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Ã‡arÅŸamba 13:30 - 14:20",Faculty of Engineering and Natural Sciences,4,NO	
ELEC2205-PS.1,Electrical Circuits,0,0,30 / 30,Åžile,DMF-410,AHMET MASUM,HAVA,STAFF,Ã‡arÅŸamba 14:30 - 15:20,Faculty of Engineering and Natural Sciences,0,NO	
ELEC2207.1,Electrical Circuits Laboratory (1),1,2,3 / 18,Åžile,"DMF-301, DMF-301",FARSHAD,MIRAMIRKHANI,STAFF,,Faculty of Engineering and Natural Sciences,2,NO	
ELEC2207.2,Electrical Circuits Laboratory (1),1,2,13 / 18,Åžile,"DMF-301, DMF-301",FARSHAD,MIRAMIRKHANI,STAFF,,Faculty of Engineering and Natural Sciences,2,NO	
ELEC2207.3,Electrical Circuits Laboratory (1),1,2,13 / 18,Åžile,"LMF-406, LMF-406",FARSHAD,MIRAMIRKHANI,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC2212.1,Circuit Theory II (4),4,6,7 / 80,Åžile,"DMF-113, DMF-113, DMF-113, DMF-113",AHMET,AKSEN,STAFF,"Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, SalÄ± 13:30 - 14:20",Faculty of Engineering and Natural Sciences,4,NO	
ELEC2212-PS.1,Circuit Theory II,0,0,7 / 80,Åžile,DMF-313,AHMET,AKSEN,STAFF,,Faculty of Engineering and Natural Sciences,1,NO	
ELEC2601.1,Electromagnetic fields and waves (4),4,6,4 / 40,Åžile,"DMF-202, DMF-202, DMF-202, DMF-202",AHMET,AKSEN,STAFF,"SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20",Faculty of Engineering and Natural Sciences,4,NO	
ELEC2601-PS.1,Electromagnetic fields and waves,0,0,4 / 40,Åžile,DMF-103,AHMET,AKSEN,STAFF,,Faculty of Engineering and Natural Sciences,1,NO	
ELEC3101.1,Electromechanical Energy Conversion (3),3,5,24 / 40,Åžile,"DMF-410, DMF-410, DMF-410",AHMET MASUM,HAVA,STAFF,"Pazartesi 16:30 - 17:20, SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20",Faculty of Engineering and Natural Sciences,3,NO	
ELEC3302.1,Electronics-II (4),4,6,7 / 25,Åžile,"DMF-400, DMF-400, DMF-400, DMF-400",ÃœMÄ°T,GÃœZ,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20, Ã‡arÅŸamba 15:30 - 16:20",Faculty of Engineering and Natural Sciences,4,NO	
ELEC3302-PS.1,Electronics-II,0,0,7 / 25,Åžile,DMF-400,ÃœMÄ°T,GÃœZ,STAFF,Ã‡arÅŸamba 16:30 - 17:20,Faculty of Engineering and Natural Sciences,1,NO	
ELEC3303.1,Electronics Laboratory (1),1,2,0 / 20,Åžile,"DMF-400, DMF-400",RAMAZAN,KÃ–PRÃœ,STAFF,"Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC3305.1,Electronics (3),3,5,7 / 35,Åžile,"DMF-003, DMF-003, DMF-003",RAMAZAN,KÃ–PRÃœ,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20",Faculty of Engineering and Natural Sciences,3,NO	
ELEC3305-PS.1,Electronics,0,0,7 / 35,Åžile,DMF-301,RAMAZAN,KÃ–PRÃœ,STAFF,,Faculty of Engineering and Natural Sciences,1,NO	
ELEC3307.1,Electronics laboratory (1),1,2,1 / 16,Åžile,"LMF-420, LMF-420",RAMAZAN,KÃ–PRÃœ,STAFF,"Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC3307.2,Electronics laboratory (1),1,2,2 / 16,Åžile,"LMF-420, LMF-420",RAMAZAN,KÃ–PRÃœ,STAFF,"Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC3502.1,Simulation Tools (3),3,5,4 / 45,Åžile,"DMF-202, DMF-202",FARSHAD,MIRAMIRKHANI,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20",Faculty of Engineering and Natural Sciences,2,NO	
ELEC3502-L.1,Simulation Tools,0,0,4 / 45,Åžile,"DMF-115, DMF-115",FARSHAD,MIRAMIRKHANI,STAFF,"Cuma 15:30 - 16:20, Cuma 16:30 - 17:20",Faculty of Engineering and Natural Sciences,2,YES	
ELEC3504.1,Digital Signal Processing (3),3,5,21 / 30,Åžile,"DMF-400, DMF-400, DMF-400",ÃœMÄ°T,GÃœZ,STAFF,"Pazartesi 14:30 - 15:20, Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20",Faculty of Engineering and Natural Sciences,3,NO	
ELEC3504-PS.1,Digital Signal Processing,0,0,21 / 30,Åžile,DMF-400,ÃœMÄ°T,GÃœZ,STAFF,Ã‡arÅŸamba 11:30 - 12:20,Faculty of Engineering and Natural Sciences,1,NO	
ELEC3521.1,System Dynamics and Control (3),3,5,8 / 45,Åžile,"DMF-212, DMF-212, DMF-212",YORGO,ISTEFANOPULOS,STAFF,Pazartesi 13:30 - 14:20,Faculty of Engineering and Natural Sciences,3,NO	
ELEC3521-PS.1,System Dynamics and Control,0,0,8 / 45,Åžile,DMF-212,YORGO,ISTEFANOPULOS,STAFF,Pazartesi 14:30 - 15:20,Faculty of Engineering and Natural Sciences,1,NO	
ELEC3711.1,Introduction to Communication Systems (4),4,6,7 / 40,Åžile,"DMF-101, DMF-101, DMF-103, DMF-103",FARSHAD,MIRAMIRKHANI,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20",Faculty of Engineering and Natural Sciences,4,NO	
ELEC3711-PS.1,Introduction to Communication Systems,0,0,7 / 40,Åžile,DMF-101,FARSHAD,MIRAMIRKHANI,STAFF,Ã‡arÅŸamba 14:30 - 15:20,Faculty of Engineering and Natural Sciences,1,NO	
ELEC3910.1,Summer Practice-I,0,1,9 / 10,Åžile,,AHMET,AKSEN,STAFF,,Faculty of Engineering and Natural Sciences,0,NO	
ELEC3920.1,Summer Practice-I,0,2,16 / 20,Åžile,,AHMET,AKSEN,STAFF,,Faculty of Engineering and Natural Sciences,0,NO	
ELEC4104.1,Energy Distribution Systems (3),3,5,13 / 15,Åžile,"DMF-102, DMF-102, DMF-102",AHMET MASUM,HAVA,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20, Ã‡arÅŸamba 16:30 - 17:20",Faculty of Engineering and Natural Sciences,3,NO	
ELEC4403.1,Digital Electronics (3),3,5,8 / 20,Åžile,"DMF-400, DMF-400, DMF-400",RAMAZAN,KÃ–PRÃœ,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20",Faculty of Engineering and Natural Sciences,3,NO	
ELEC4404.1,Microcontroller Based System Design And Control (3),3,5,0 / 15,Åžile,"DMF-302, DMF-302, DMF-302",RAMAZAN,KÃ–PRÃœ,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20",Faculty of Engineering and Natural Sciences,3,NO	
ELEC4902.1,Graduation Design Project (3),3,6,20 / 30,Åžile,,AHMET,AKSEN,STAFF,,Faculty of Engineering and Natural Sciences,0,NO	
ELEC4910.1,Summer Practice-II,0,1,16 / 20,Åžile,,AHMET,AKSEN,STAFF,,Faculty of Engineering and Natural Sciences,0,NO	
ENGL1101.1,Academic English 1 (3),3,4,10 / 26,Åžile,"-, -, -, -",MERVE,AÄžIRBAÅž,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1101.2,Academic English 1 (3),3,4,3 / 26,Åžile,"-, -, -, -",JEREMY R.,LAMAÄ°SON,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Cuma 08:30 - 09:20, Cuma 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1101.3,Academic English 1 (3),3,4,17 / 26,Åžile,"-, -, -, -",JEREMY R.,LAMAÄ°SON,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1101.4,Academic English 1 (3),3,4,4 / 26,Åžile,"-, -, -, -",JEREMY R.,LAMAÄ°SON,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1101.5,Academic English 1 (3),3,4,-2 / 32,Åžile,"-, -, -, -",JEREMY R.,LAMAÄ°SON,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1101.6,Academic English 1 (3),3,4,22 / 26,Åžile,"-, -, -, -",MERVE,AÄžIRBAÅž,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Cuma 08:30 - 09:20, Cuma 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1101.7,Academic English 1 (3),3,4,10 / 26,Åžile,"-, -, -, -",MERVE,AÄžIRBAÅž,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1101.9,Academic English 1 (3),3,4,19 / 26,Åžile,"-, -, -, -",BURCU,Ã‡ATALOLUK,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1101.10,Academic English 1 (3),3,4,14 / 26,Åžile,"-, -, -, -",BURCU,Ã‡ATALOLUK,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Cuma 08:30 - 09:20, Cuma 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1101.11,Academic English 1 (3),3,4,1 / 26,Åžile,"-, -, -, -",BÃœLENT,ERYÄ°ÄžÄ°T,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1101.12,Academic English 1 (3),3,4,0 / 30,Åžile,"-, -, -, -",BURCU,Ã‡ATALOLUK,STAFF,"SalÄ± 14:30 - 15:20, SalÄ± 15:30 - 16:20",School of Foreign Languages,4,NO	
ENGL1101.13,Academic English 1 (3),3,4,18 / 26,Åžile,"-, -, -, -",BURCU,Ã‡ATALOLUK,STAFF,"Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20, Cuma 15:30 - 16:20, Cuma 16:30 - 17:20",School of Foreign Languages,4,NO	
ENGL1101.14,Academic English 1 (3),3,4,13 / 26,Åžile,"-, -, -, -",MERVE,AÄžIRBAÅž,STAFF,"SalÄ± 11:30 - 12:20, SalÄ± 12:30 - 13:20",School of Foreign Languages,4,NO	
ENGL1101.15,Academic English 1 (3),3,4,23 / 26,Åžile,"-, -, -, -",BÃœLENT,ERYÄ°ÄžÄ°T,STAFF,"Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20, Cuma 15:30 - 16:20, Cuma 16:30 - 17:20",School of Foreign Languages,4,NO	
ENGL1101.16,Academic English 1 (3),3,4,19 / 26,Åžile,"-, -, -, -",HACER YEÅžÄ°M,UÃ‡A,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1102.1,Academic English 2 (3),3,4,1 / 28,Åžile,"-, -, -, -",ARMIN,HEDAYATI,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Cuma 08:30 - 09:20, Cuma 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1102.2,Academic English 2 (3),3,4,3 / 28,Åžile,"-, -, -, -",ARMIN,HEDAYATI,STAFF,"Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1102.3,Academic English 2 (3),3,4,0 / 28,Åžile,"-, -, -, -",ARMIN,HEDAYATI,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1102.4,Academic English 2 (3),3,4,0 / 28,Åžile,"-, -, -, -",ARMIN,HEDAYATI,STAFF,"SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20",School of Foreign Languages,4,NO	
ENGL1102.5,Academic English 2 (3),3,4,1 / 28,Åžile,"-, -, -, -",HEDÄ°YE GAMZE,TÃœRKMEN,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Cuma 08:30 - 09:20, Cuma 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1102.6,Academic English 2 (3),3,4,2 / 28,Åžile,"-, -, -, -",HEDÄ°YE GAMZE,TÃœRKMEN,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1102.7,Academic English 2 (3),3,4,18 / 30,Åžile,"-, -, -, -",HEDÄ°YE GAMZE,TÃœRKMEN,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1102.8,Academic English 2 (3),3,4,2 / 28,Åžile,"-, -, -, -",Ä°LKÄ°N,ALTINOK,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Cuma 08:30 - 09:20, Cuma 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1102.10,Academic English 2 (3),3,4,3 / 30,Åžile,"DMF-101, DMF-101, DMF-101, DMF-101",NÃœKET,AYASLI,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1102.11,Academic English 2 (3),3,4,2 / 26,Åžile,"-, -, -, -",Ä°LKÄ°N,ALTINOK,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1102.12,Academic English 2 (3),3,4,4 / 26,Åžile,"-, -, -, -",Ä°LKÄ°N,ALTINOK,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1102.13,Academic English 2 (3),3,4,0 / 4,Åžile,"-, -, -, -",Ä°HSAN OYA,KURALI,STAFF,"SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20",School of Foreign Languages,4,NO	
ENGL1102.14,Academic English 2 (3),3,4,-1 / 0,Åžile,"-, -, -, -",STAFF,,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1102.15,Academic English 2 (3),3,4,15 / 26,Åžile,"-, -, -, -",Ä°HSAN OYA,KURALI,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1102.16,Academic English 2 (3),3,4,4 / 28,Åžile,"-, -, -, -",ROBERT JAMES,GRAY,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Cuma 08:30 - 09:20, Cuma 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1102.17,Academic English 2 (3),3,4,17 / 24,Åžile,"-, -, -, -",ROBERT JAMES,GRAY,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 09:30 - 10:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1102.18,Academic English 2 (3),3,4,23 / 24,Åžile,"-, -, -, -",ROBERT JAMES,GRAY,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20",School of Foreign Languages,4,NO	
ENGL1102.19,Academic English 2 (3),3,4,18 / 24,Åžile,"-, -, -, -",ROBERT JAMES,GRAY,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1102.20,Academic English 2 (3),3,4,12 / 24,Åžile,"-, -, -, -",Ä°LKÄ°N,ALTINOK,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20",School of Foreign Languages,4,NO	
ENGL1202.1,General English 2 (3),3,4,17 / 28,Åžile,"-, -, -, -",ASIM,ÅžAKAR,STAFF,,School of Foreign Languages,4,NO	
ENGL1202.2,General English 2 (3),3,4,17 / 28,Åžile,"-, -, -, -",BÃœLENT,ERYÄ°ÄžÄ°T,STAFF,,School of Foreign Languages,4,NO	
ENGL1202.3,General English 2 (3),3,4,0 / 28,Åžile,"-, -, -, -",MERVE,AÄžIRBAÅž,STAFF,"SalÄ± 13:30 - 14:20, SalÄ± 14:30 - 15:20, SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20",School of Foreign Languages,4,NO	
ENGL1202.4,General English 2 (3),3,4,16 / 28,Åžile,"-, -, -, -",BURCU,Ã‡ATALOLUK,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20, SalÄ± 12:30 - 13:20",School of Foreign Languages,4,NO	
ENGL1202.5,General English 2 (3),3,4,0 / 30,Åžile,"-, -, -, -",HACER YEÅžÄ°M,UÃ‡A,STAFF,,School of Foreign Languages,4,NO	
ENGL1202.6,General English 2 (3),3,4,9 / 28,Åžile,"-, -, -, -",HACER YEÅžÄ°M,UÃ‡A,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20, SalÄ± 12:30 - 13:20",School of Foreign Languages,4,NO	
ENGL1202.7,General English 2 (3),3,4,0 / 28,Åžile,"-, -, -, -",HACER YEÅžÄ°M,UÃ‡A,STAFF,"SalÄ± 13:30 - 14:20, SalÄ± 14:30 - 15:20, SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20",School of Foreign Languages,4,NO	
ENGL1202.8,General English 2 (3),3,4,9 / 28,Åžile,"-, -, -, -",HACER YEÅžÄ°M,UÃ‡A,STAFF,,School of Foreign Languages,4,NO	
ENGL1301.1,General English 1 (Vocational School) (3),3,4,7 / 70,Maslak,"A404, A404, A404",AYÅžE YASEMÄ°N,ERDEMCÄ°,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20, SalÄ± 14:30 - 15:20",School of Foreign Languages,3,NO	
ENGL1301.2,General English 1 (Vocational School) (3),3,4,6 / 75,Maslak,"B451, B451, B451",BERRAK,Ã–ZDENOÄžLU,STAFF,,School of Foreign Languages,3,NO	
